k_per_eff,y_per_eff,c_per_eff,A,k,y,c,ln_y,ln_c,g_y,case,Period
4.742383340215821,1.4594532228241106,1.0748993943308909,1.8778036396099544,8.905264696682881,2.7405665736595926,2.0184499948890826,1.008164677732089,0.7023298876024978,0.009406595793268302,no shock with growth,39
4.756449090414543,1.4484452367658054,1.0667919213664756,1.9092003131136666,9.08101409272866,2.7653720995612745,2.0367194703000053,1.0171752008064472,0.711340410676856,0.009010523074358234,no shock with growth,40
4.766671305502814,1.4369803789120614,1.0583479585382376,1.9411219355983613,9.25269023089879,2.7893541345306474,2.054382437814318,1.0258100760348658,0.7199752859052747,0.00863487522841866,no shock with growth,41
4.7732224947340605,1.4250980216076787,1.0495965039044335,1.9735772841541532,9.42032348782076,2.812541083137939,2.071459817633406,1.0340883747617864,0.728253584632195,0.008278298726920541,no shock with growth,42
4.776272204123341,1.4128352482836386,1.040564869719323,2.0065752826231527,9.583949747873902,2.834960287624694,2.0879717475447745,1.0420279291890797,0.7361931390594884,0.007939554427293327,no shock with growth,43
4.775986658825195,1.4002269805716732,1.0312787760541022,2.0401250040531442,9.743609801693514,2.8566380744141067,2.103937617177297,1.0496454349349333,0.7438106448053422,0.0076175057458536255,no shock with growth,44
4.772528464533714,1.3873060979490202,1.021762438916256,2.0742356731922884,9.899348792461447,2.8775997980030525,2.1193761003280547,1.0569565432029489,0.7511217530733574,0.007311108268015509,no shock with growth,45
4.766056361586052,1.3741035504131842,1.0120386532354557,2.108916669025536,10.051215706464022,2.897869882433535,2.134305185506407,1.0639759437992387,0.7581411536696473,0.007019400596289804,no shock with growth,46
4.756725026051142,1.3606484646460848,1.0021288710543326,2.144177527353452,10.199262904658623,2.917471860522113,2.1487422048267852,1.0707174400668031,0.764882649937212,0.006741496267564484,no shock with growth,47
4.7446849126305946,1.3469682440905497,0.9920532752356443,2.1800279434141516,10.34354569223023,2.936428411008892,2.162703861369235,1.077194016663646,0.7713592265340549,0.006476576596842865,no shock with growth,48
4.730082134693812,1.3330886633292673,0.9818308489731569,2.2164777745490833,10.484121923340519,2.954761393772667,2.17620625511566,1.083417900989644,0.7775831108600527,0.006223884325998075,no shock with growth,49
